lap_number,lap_time_ms,is_valid,s1_ms,s2_ms,s3_ms,avg_speed_kmh,max_speed_kmh,tyre_compound,avg_tyre_temp_fl,avg_tyre_temp_fr,avg_tyre_temp_rl,avg_tyre_temp_rr,avg_tyre_pressure_fl,avg_tyre_pressure_fr,avg_tyre_pressure_rl,avg_tyre_pressure_rr,avg_brake_bias,max_brake_temp,avg_tc_intervention,avg_abs_intervention,fuel_used
1,148257,1,43342,109035,0,168.54,251.03,dry_compound,78.38,78.17,90.39,89.24,26.347,26.327,27.5,27.389,0.73,596.2,0.0606,0.0554,3.727
2,148212,1,43590,109050,0,168.18,251.47,dry_compound,78.5,78.63,90.81,89.85,26.359,26.372,27.541,27.449,0.73,625.6,0.0746,0.0574,3.775
